COUNTY	GLOBAL_ID	FIELD_PT_NAME	LOGDATE	LOGTIME	LOGCODE	SAMPID	MATRIX	LABWO 	LABCODE	LABSAMPID	ANMCODE	LABLOTCTL	ANADATE	BASIS	PARLABEL	PARVAL	PARVQ	LABDL	REPDL	UNITS	DILFAC	LNOTE
Alpine	T0600300005	MW-1	2010-09-16	1255	CLSR	MW-1	W	CTI0666	CLSR	CTI066604	M8015	CT06938	2010-09-20	N	GASOLINE	3500	=	50	250	UG/L	5	DU
Alpine	T0600300005	MW-1	2011-07-21	1205	CLSR	MW-1DUP	W	CUG1027	CLSR	CUG102720	M8015	CU05234	2011-07-27	N	GASOLINE	190	=	10	50	UG/L	1	DU
Alpine	T0600300005	MW-1	2011-07-21	1200	CLSR	MW-1	W	CUG1027	CLSR	CUG102719	M8015	CU05257	2011-07-28	N	MOIL	43000	=	4600	25000	UG/L	500	DU
Alpine	T0600300005	MW-1	2011-07-21	1200	CLSR	MW-1	W	CUG1027	CLSR	CUG102719	M8015	CU05257	2011-07-28	N	PHCD	1300000	=	1100	25000	UG/L	500	DU
Alpine	T0600300005	MW-1	2002-04-15	0935	KFR	MW-1	WX	NA	ALPS	041625-01	SW8260B	MS4W0418A	2002-04-18	N	MTBE	0	ND	.25	.5	UG/L	1	
Alpine	T0600300005	MW-1	2002-10-31	0720	KFR	MW-1	WX	NA	ALPS	110129-01	SW8260B	MS8W1104A	2002-11-04	N	EBZ	0	ND	.25	.5	UG/L	1	
Alpine	T0600300005	MW-1	2002-10-31	0720	KFR	MW-1	WX	NA	ALPS	110129-01	SW8260B	MS8W1104A	2002-11-04	N	DCA12	0	ND	.5	1	UG/L	1	
Alpine	T0600300005	MW-1	2002-10-31	0720	KFR	MW-1	WX	NA	ALPS	110129-01	SW8260B	MS8W1104A	2002-11-04	N	TBME	0	ND	.5	1	UG/L	1	
Alpine	T0600300005	MW-1	2004-07-20	1200	GECR	MW-1	W	NA	KIFF	39288-15	SW8260B	V072204W10	2004-07-23	N	TBA	0	ND	5	5	UG/L	1	
Alpine	T0600300005	MW-1	2004-11-05	1200	GECR	MW-1	W	NA	KIFF	40918-11	SW8260B	V449677	2004-11-13	N	TAME	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-1	2005-04-01	1200	GECR	MW-1	W	NA	KIFF	43100-16	SW8260B	V916619	2005-04-05	N	DIPE	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-1	2004-11-05	1200	GECR	MW-1	W	NA	KIFF	40918-11	SW8260B	V449677	2004-11-13	N	BZME	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-1	2004-11-05	1200	GECR	MW-1	W	NA	KIFF	40918-11	SW8260B	V449677	2004-11-13	N	EBZ	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-1	2006-06-13	1200	GECR	MW-1	W	NA	KIFF	50553-21	SW8260B	V836684	2006-06-16	N	DIPE	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-1	2006-06-13	1200	GECR	MW-1	W	NA	KIFF	50553-21	SW8260B	V836684	2006-06-16	N	TAME	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-1	2006-09-26	1200	GECR	MW-1	W	NA	KIFF	52437-18	SW8260B	V634467	2006-09-29	N	BZME	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-1	2006-09-26	1200	GECR	MW-1	W	NA	KIFF	52437-18	SW8260B	V634467	2006-09-29	N	ETBE	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-1	2006-11-21	1200	GECR	MW-1	W	NA	KIFF	53493-18	SW8260B	V840238	2006-11-28	N	TBA	0	ND	5	5	UG/L	1	
Alpine	T0600300005	MW-1	2006-11-21	1200	GECR	MW-1	W	NA	KIFF	53493-18	SW8260B	V840238	2006-11-28	N	EBZ	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-1	2006-11-21	1200	GECR	MW-1	W	NA	KIFF	53493-18	SW8260B	V840238	2006-11-28	N	MTBE	0	ND	.5	.5	UG/L	1	
Alpine	T0600300005	MW-1	2009-12-18	1455	CLSR	MW-1	W	CSL0794	CLSR	CSL079414	SW8021F	CS09627	2009-12-23	N	BZ	0	ND	.04	.5	UG/L	1	
Alpine	T0600300005	MW-1	2008-05-14	1655	CLSR	MW-1	W	CRE0582	CLSR	CRE058218	SW8021F	CR04099	2008-05-22	N	XYLENES	0	ND	.11	1	UG/L	1	
